asset_code,public_name,class,subtype,status,orig_views,deeptics_views,description,dof,payload_kg,sensor_default,controller_presets,interfaces,posml,safety,compatibility
DXW-MICRO,MicroRover-μ,wheeled,micro-diffdrive,proto,4427,0,Ultra-compact differential-drive rover for swarm & hallway SLAM.,2,1.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-MICRO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-SCOUT,ScoutRover,wheeled,diffdrive,proto,2121,0,"Small indoor/outdoor rover for mapping, nav, and sensor bring-up.",2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-SCOUT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXM-OMNIARM,OmniBase+Arm,mobile_manipulator,omni-base+5DoF,proto,2118,0,Compact omnidirectional base with light manipulator for Fetch tasks.,10,3.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['DWA_planner', 'A*_global', 'joint_space_PD']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXM-OMNIARM.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-COMPACT,Humanoid-Compact,humanoid,small-biped,proto,2059,0,"Compact biped for balance, gesture, and HRI experiments.",20,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-COMPACT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-5E,CollabArm-5e,manipulator,6DoF-collab,proto,2027,0,6-DoF collaborative arm for pick/place and policy learning.,6,5.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-5E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXF-INSPECT,QuadRotor-Inspect,aerial,quadrotor,proto,1583,0,Stabilized quad for indoor/outdoor waypoint & inspection trials.,6,1.5,"['SM-IMU', 'SM-Stereo', 'SM-RGBD']","['LQR_attitude', 'waypoint_P', 'VIO_loops']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXF-INSPECT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-MINI,MiniRover-TB,wheeled,mini-diffdrive,proto,1336,0,"Lightweight mini rover for education, ROS2, and quick prototyping.",2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-MINI.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-10E,CollabArm-10e,manipulator,6DoF-collab-longreach,proto,1234,0,Extended-reach 6-DoF arm for palletizing and workspace coverage.,6,10.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-10E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXF-MICRO,MicroQuad,aerial,micro-quad,proto,1191,0,Palm-sized quadrotor for VIO and constrained-space flight.,6,0.03,"['SM-IMU', 'SM-Stereo', 'SM-RGBD']","['LQR_attitude', 'waypoint_P', 'VIO_loops']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXF-MICRO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-AGILE,Quadruped-Agile,legged,quadruped,proto,1173,0,Agile quad for foothold planning and uneven-terrain traversal.,12,6.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-3D']","['gait_trot', 'gait_walk', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-AGILE.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-P3DX,Rover-P3DX,wheeled,diffdrive-legacy,proto,987,0,Baseline diff-drive platform for classical nav benchmarks.,2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-P3DX.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-K4,MicroRover-K4,wheeled,micro-diffdrive,proto,913,0,Micro research rover with tight-space maneuverability.,2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-K4.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-IND4600,IndustArm-4600,manipulator,6DoF-industrial,proto,856,0,High-payload industrial arm for cycle-time and reach tests.,6,60.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-IND4600.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-MINI3,Humanoid-Mini3,humanoid,small-biped,proto,822,0,Mini humanoid for locomotion primitives and vision-in-the-loop.,16,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI3.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-MINI2,Humanoid-Mini2,humanoid,small-biped,proto,805,0,Prior-gen mini humanoid for regression testing and curriculum.,16,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXM-TORSO,Tiago-Class,mobile_manipulator,torso+arm,proto,756,0,Mobile manipulator with lifting torso for service-robot tasks.,10,3.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['DWA_planner', 'A*_global', 'joint_space_PD']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXM-TORSO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-P3AT,Rover-P3AT,wheeled,all-terrain,proto,753,0,All-terrain variant for gravel/grass/incline navigation.,2,8.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-P3AT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-DESK,DeskArm-N,manipulator,6DoF-desktop,proto,736,0,Desktop 6-DoF arm for lab bench assembly and policy tests.,6,1.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-DESK.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXW-SCOUTXL,ScoutRover-XL,wheeled,diffdrive-heavy,proto,731,0,Large-footprint rover for payloaded mapping and autonomy.,2,15.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-SCOUTXL.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-P7,CollabArm-P7,manipulator,7DoF-collab,proto,663,0,7-DoF collaborative arm with rich redundancy for constrained reach.,7,7.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-P7.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-3E,CollabArm-3e,manipulator,6DoF-compact,proto,587,0,Compact 6-DoF arm for tight workcells and benchtop tasks.,6,3.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-3E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-POWER,Humanoid-Power,humanoid,large-biped,proto,515,0,"Power-class humanoid for dynamic balance, jump, and load-handling trials.",28,10.0,"['SM-RGBD', 'SM-IMU', 'SM-Stereo', 'SM-LiDAR-3D']","['gait_walk', 'push_recovery', 'whole_body_QP', 'jump_control']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-POWER.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-PET,Quadruped-Pet,legged,mini-quadruped,proto,495,0,"Small pet-class quadruped for education, HRI, and gait prototyping.",8,2.0,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'gait_trot']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-PET.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-K3HV,Humanoid-K3HV,humanoid,small-biped,proto,373,0,Compact research humanoid with high-velocity joints for agility studies.,18,0.8,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-K3HV.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXL-HEX6M,Hexapod-Mantis,legged,hexapod,proto,259,0,Six-legged crawler for tripod/wave gaits and terrain adaptation.,18,3.0,"['SM-IMU', 'SM-RGBD']","['tripod_gait', 'wave_gait']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXL-HEX6M.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXL-SALA,Salamander,legged,limbed-serpentine,proto,255,0,Articulated limbed body for CPG-based swimming/crawling experiments.,12,1.0,['SM-IMU'],"['body_cpg', 'limb_cpg']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXL-SALA.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-DRWNH2,Humanoid-DarwinH2,humanoid,hinge-variant,proto,226,0,Hinge‑optimized mini humanoid for curriculum learning and control ablation.,16,0.5,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-DRWNH2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-DRWN,Humanoid-Darwin,humanoid,small-biped,proto,183,0,Baseline mini humanoid for classic locomotion and pose tracking tasks.,16,0.5,"['SM-IMU', 'SM-RGBD']",['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-DRWN.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-GHOST,Quadruped-Ghost,legged,quadruped-minimal,proto,180,0,Minimalist quadruped for controller prototyping and unit tests.,8,1.5,['SM-IMU'],"['gait_walk', 'gait_trot']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-GHOST.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-RSCH2,Humanoid-Research2,humanoid,small-biped,proto,177,0,Research‑class biped with balanced DoF for perception‑in‑the‑loop control.,20,1.0,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-RSCH2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-EDU,Quadruped-Edu,legged,quadruped-edu,proto,177,0,Education‑focused quadruped for classroom gait and sensing labs.,8,1.5,"['SM-IMU', 'SM-RGBD']",['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-EDU.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-K2HV,Humanoid-K2HV,humanoid,small-biped,proto,125,0,High‑velocity mini humanoid (gen‑2) for agility studies.,18,0.8,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-K2HV.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-MINI2H2,Humanoid-Mini2Hinge2,humanoid,hinge-variant,proto,107,0,Mini2 hinge variant for joint‑limit and compliance experiments.,16,0.5,['SM-IMU'],['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI2H2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-COMPACTP,Humanoid-CompactPlus,humanoid,small-biped,proto,75,0,Enhanced compact humanoid with richer IMU and stereo stack.,20,0.7,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-COMPACTP.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-SCOUT,Humanoid-Scout,humanoid,micro-biped,proto,64,0,Micro biped for low‑cost locomotion labs and controller sandboxing.,12,0.3,['SM-IMU'],['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-SCOUT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
